Date, UserID, Scenario, Branch, Variable, Action, NewValue, OldValue, ChangeID, ScenarioID, BranchID, VariableID, NewValue, OldValue
2015/01/03 13:04:26,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:05:16,AMA,Current Accounts,,,Delete River,0,0,   13,1,14,6,0,0
2015/01/03 13:07:09,AMA,Current Accounts,Bear,,Create River,,,   5,1,14,6,,
2015/01/03 13:07:09,AMA,Current Accounts,Below Bear Headflow,,Create River Reach,,,   5,1,15,16,,
2015/01/03 13:10:13,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:11:12,AMA,Current Accounts,Cub River,,Create River,,,   5,1,17,6,,
2015/01/03 13:11:12,AMA,Current Accounts,Below Cub River Headflow,,Create River Reach,,,   5,1,18,16,,
2015/01/03 13:11:15,AMA,Current Accounts,Cub River Inflow,,Create Tributary Inflow,,,   5,1,19,13,,
2015/01/03 13:11:16,AMA,Current Accounts,Below Cub River Inflow,,Create River Reach,,,   5,1,20,16,,
2015/01/03 13:11:16,AMA,Current Accounts,Cub River,,Connect tailflow,Cub River Inflow,,   9,1,17,0,19,0
2015/01/03 13:11:39,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:11:39,AMA,Current Accounts,Below Cub River Inflow,,Delete River Reach,0,0,   13,1,20,16,0,0
2015/01/03 13:11:39,AMA,Current Accounts,Supply and Resources\River\Bear\Reaches\Below Cub River Inflow,,Delete Branch,,,   19,1,118,0,,
2015/01/03 13:11:39,AMA,Current Accounts,Below Cub River Inflow,,Create River Reach,,,   5,1,21,16,,
2015/01/03 13:13:58,AMA,Current Accounts,Newton Creek,,Create River,,,   5,1,22,6,,
2015/01/03 13:13:58,AMA,Current Accounts,Below Newton Creek Headflow,,Create River Reach,,,   5,1,23,16,,
2015/01/03 13:13:59,AMA,Current Accounts,Newton Creek Inflow,,Create Tributary Inflow,,,   5,1,24,13,,
2015/01/03 13:13:59,AMA,Current Accounts,Below Newton Creek Inflow,,Create River Reach,,,   5,1,25,16,,
2015/01/03 13:13:59,AMA,Current Accounts,Newton Creek,,Connect tailflow,Newton Creek Inflow,,   9,1,22,0,24,0
2015/01/03 13:16:09,AMA,Current Accounts,Malad River,,Create River,,,   5,1,26,6,,
2015/01/03 13:16:09,AMA,Current Accounts,Below Malad River Headflow,,Create River Reach,,,   5,1,27,16,,
2015/01/03 13:16:10,AMA,Current Accounts,Malad River Inflow,,Create Tributary Inflow,,,   5,1,28,13,,
2015/01/03 13:16:10,AMA,Current Accounts,Below Malad River Inflow,,Create River Reach,,,   5,1,29,16,,
2015/01/03 13:16:10,AMA,Current Accounts,Malad River,,Connect tailflow,Malad River Inflow,,   9,1,26,0,28,0
2015/01/03 13:16:17,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:16:17,AMA,Current Accounts,Below Newton Creek Inflow,,Delete River Reach,0,0,   13,1,25,16,0,0
2015/01/03 13:16:17,AMA,Current Accounts,Supply and Resources\River\Bear\Reaches\Below Newton Creek Inflow,,Delete Branch,,,   19,1,131,0,,
2015/01/03 13:16:17,AMA,Current Accounts,Below Malad River Inflow,,Delete River Reach,0,0,   13,1,29,16,0,0
2015/01/03 13:16:17,AMA,Current Accounts,Supply and Resources\River\Bear\Reaches\Below Malad River Inflow,,Delete Branch,,,   19,1,144,0,,
2015/01/03 13:16:18,AMA,Current Accounts,Below Newton Creek Inflow,,Create River Reach,,,   5,1,32,16,,
2015/01/03 13:16:18,AMA,Current Accounts,Below Malad River Inflow,,Create River Reach,,,   5,1,33,16,,
2015/01/03 13:17:31,AMA,Current Accounts,Blacksmith Fork Inflow,,Create Tributary Inflow,,,   5,1,34,13,,
2015/01/03 13:17:31,AMA,Current Accounts,Below Blacksmith Fork Inflow,,Create River Reach,,,   5,1,35,16,,
2015/01/03 13:17:31,AMA,Current Accounts,Blacksmith Fork,,Connect tailflow,Blacksmith Fork Inflow,,   9,1,2,0,34,0
2015/01/03 13:18:20,AMA,Current Accounts,Little Bear River,,Create River,,,   5,1,36,6,,
2015/01/03 13:18:20,AMA,Current Accounts,Below Little Bear River Headflow,,Create River Reach,,,   5,1,37,16,,
2015/01/03 13:18:23,AMA,Current Accounts,Little Bear River,,Connect tailflow,Newton Creek Inflow,,   9,1,36,0,24,0
2015/01/03 13:18:33,AMA,Current Accounts,Logan River Inflow,,Create Tributary Inflow,,,   5,1,38,13,,
2015/01/03 13:18:33,AMA,Current Accounts,Below Logan River Inflow,,Create River Reach,,,   5,1,39,16,,
2015/01/03 13:18:33,AMA,Current Accounts,Logan River,,Connect tailflow,Logan River Inflow,,   9,1,9,0,38,0
2015/01/03 13:19:04,AMA,Current Accounts,South Fork Little Bear River Inflow,,Create Tributary Inflow,,,   5,1,40,13,,
2015/01/03 13:19:04,AMA,Current Accounts,Below South Fork Little Bear River Inflow,,Create River Reach,,,   5,1,41,16,,
2015/01/03 13:19:04,AMA,Current Accounts,South Fork Little Bear River,,Connect tailflow,South Fork Little Bear River Inflow,,   9,1,7,0,40,0
2015/01/03 13:19:09,AMA,Current Accounts,East Fort Little Bear River,,Connect tailflow,South Fork Little Bear River Inflow,,   9,1,5,0,40,0
2015/01/03 13:19:33,AMA,,,TextZoomFactor,Area-wide setting changed,0.00054187077314641,0.00290165755699188,   15,0,0,832,0.00054187077314641,0.00290165755699188
2015/01/03 13:19:47,AMA,,,NodeZoomFactor,Area-wide setting changed,2445,42,   15,0,0,833,2445,42
2015/01/03 13:19:53,AMA,,,NodeZoomFactor,Area-wide setting changed,920,2445,   15,0,0,833,920,2445
2015/01/03 13:20:04,AMA,,,NodeZoomFactor,Area-wide setting changed,427,920,   15,0,0,833,427,920
2015/01/03 13:20:16,AMA,,,NodeZoomFactor,Area-wide setting changed,228,427,   15,0,0,833,228,427
2015/01/03 13:20:40,AMA,,,TextZoomFactor,Area-wide setting changed,0.00152332834331058,0.00054187077314641,   15,0,0,832,0.00152332834331058,0.00054187077314641
2015/01/03 13:21:29,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:21:29,AMA,Current Accounts,Below Blacksmith Fork Inflow,,Delete River Reach,0,0,   13,1,35,16,0,0
2015/01/03 13:21:30,AMA,Current Accounts,Supply and Resources\River\Logan River\Reaches\Below Blacksmith Fork Inflow,,Delete Branch,,,   19,1,147,0,,
2015/01/03 13:21:30,AMA,Current Accounts,Below Logan River Inflow,,Delete River Reach,0,0,   13,1,39,16,0,0
2015/01/03 13:21:30,AMA,Current Accounts,Supply and Resources\River\Little Bear River\Reaches\Below Logan River Inflow,,Delete Branch,,,   19,1,160,0,,
2015/01/03 13:21:30,AMA,Current Accounts,Below South Fork Little Bear River Inflow,,Delete River Reach,0,0,   13,1,41,16,0,0
2015/01/03 13:21:30,AMA,Current Accounts,Supply and Resources\River\Little Bear River\Reaches\Below South Fork Little Bear River Inflow,,Delete Branch,,,   19,1,162,0,,
2015/01/03 13:21:30,AMA,Current Accounts,Below Blacksmith Fork Inflow,,Create River Reach,,,   5,1,44,16,,
2015/01/03 13:21:30,AMA,Current Accounts,Below South Fork Little Bear River Inflow,,Create River Reach,,,   5,1,45,16,,
2015/01/03 13:21:30,AMA,Current Accounts,Below Logan River Inflow,,Create River Reach,,,   5,1,46,16,,
2015/01/03 13:27:50,AMA,,,FullExtentTop,Area-wide setting changed,43.1608864111164,44.8545027220376,   15,0,0,834,43.1608864111164,44.8545027220376
2015/01/03 13:27:50,AMA,,,FullExtentLeft,Area-wide setting changed,-113.240786408577,-115.302491103203,   15,0,0,835,-113.240786408577,-115.302491103203
2015/01/03 13:27:50,AMA,,,FullExtentRight,Area-wide setting changed,-110.061158366783,-110.818505338078,   15,0,0,837,-110.061158366783,-110.818505338078
2015/01/03 13:27:50,AMA,,,FullExtentBottom,Area-wide setting changed,40.1451567219921,39.7299475618953,   15,0,0,836,40.1451567219921,39.7299475618953
2015/01/03 13:28:06,AMA,,,FullExtentTop,Area-wide setting changed,43.0129934839312,43.1608864111164,   15,0,0,834,43.0129934839312,43.1608864111164
2015/01/03 13:28:06,AMA,,,FullExtentLeft,Area-wide setting changed,-112.914492396023,-113.240786408577,   15,0,0,835,-112.914492396023,-113.240786408577
2015/01/03 13:28:06,AMA,,,FullExtentRight,Area-wide setting changed,-110.31029085211,-110.061158366783,   15,0,0,837,-110.31029085211,-110.061158366783
2015/01/03 13:28:06,AMA,,,FullExtentBottom,Area-wide setting changed,40.3509207945976,40.1451567219921,   15,0,0,836,40.3509207945976,40.1451567219921
2015/01/03 13:28:12,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:31:08,AMA,,,TextZoomFactor,Area-wide setting changed,20.0925012343468,0.00152332834331058,   15,0,0,832,20.0925012343468,0.00152332834331058
2015/01/03 13:32:14,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:35:48,AMA,,,TextZoomFactor,Area-wide setting changed,2530.66351877789,20.0925012343468,   15,0,0,832,2530.66351877789,20.0925012343468
2015/01/03 13:36:44,AMA,,,TextZoomFactor,Area-wide setting changed,20000,2530.66351877789,   15,0,0,832,20000,2530.66351877789
2015/01/03 13:36:47,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 13:57:25,AMA,,,TextZoomFactor,Area-wide setting changed,2183.26346838723,20000,   15,0,0,832,2183.26346838723,20000
2015/01/03 13:58:10,AMA,,,TextZoomFactor,Area-wide setting changed,2104.13734204725,2183.26346838723,   15,0,0,832,2104.13734204725,2183.26346838723
2015/01/03 13:58:18,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 14:11:18,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 14:17:45,AMA,Current Accounts,Porcupine Reservoir,,Create Reservoir,,,   5,1,50,4,,
2015/01/03 14:17:45,AMA,Current Accounts,Porcupine Reservoir,,Change Active in Current Accounts?,Yes,,   6,1,50,0,Yes,
2015/01/03 14:17:46,AMA,Current Accounts,Below Porcupine Reservoir,,Create River Reach,,,   5,1,51,16,,
2015/01/03 14:17:53,AMA,,,NodeZoomFactor,Area-wide setting changed,86,228,   15,0,0,833,86,228
2015/01/03 14:18:00,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 14:18:44,AMA,Current Accounts,Hyrum Reservoir,,Create Reservoir,,,   5,1,55,4,,
2015/01/03 14:18:44,AMA,Current Accounts,Hyrum Reservoir,,Change Active in Current Accounts?,Yes,,   6,1,55,0,Yes,
2015/01/03 14:18:45,AMA,Current Accounts,Below Hyrum Reservoir,,Create River Reach,,,   5,1,56,16,,
2015/01/03 14:21:27,AMA,Current Accounts,Cutler Reservoir,,Create Reservoir,,,   5,1,57,4,,
2015/01/03 14:21:27,AMA,Current Accounts,Cutler Reservoir,,Change Active in Current Accounts?,Yes,,   6,1,57,0,Yes,
2015/01/03 14:21:27,AMA,Current Accounts,Below Cutler Reservoir,,Create River Reach,,,   5,1,58,16,,
2015/01/03 14:21:53,AMA,,,TextZoomFactor,Area-wide setting changed,0.0144793622818218,2104.13734204725,   15,0,0,832,0.0144793622818218,2104.13734204725
2015/01/03 14:22:45,AMA,Current Accounts,Bear River,BranchID,Change name,Bear River,Bear,   8,1,14,6,Bear River,Bear
2015/01/03 14:23:09,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 14:27:17,AMA,,,FullExtentTop,Area-wide setting changed,42.4843465831276,43.0129934839312,   15,0,0,834,42.4843465831276,43.0129934839312
2015/01/03 14:27:17,AMA,,,FullExtentLeft,Area-wide setting changed,-112.293997962947,-112.914492396023,   15,0,0,835,-112.293997962947,-112.914492396023
2015/01/03 14:27:17,AMA,,,FullExtentRight,Area-wide setting changed,-110.804431666651,-110.31029085211,   15,0,0,837,-110.804431666651,-110.31029085211
2015/01/03 14:27:17,AMA,,,FullExtentBottom,Area-wide setting changed,41.2785072004115,40.3509207945976,   15,0,0,836,41.2785072004115,40.3509207945976
2015/01/03 14:30:33,AMA,Current Accounts,Paradise,,Create Streamflow Gauge,,,   5,1,65,20,,
2015/01/03 14:32:50,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 14:34:42,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 14:36:02,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 14:36:37,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 14:37:06,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 14:39:36,AMA,Current Accounts,Willard Bay,,Create Reservoir,,,   5,1,66,4,,
2015/01/03 14:39:36,AMA,Current Accounts,Willard Bay,,Change Active in Current Accounts?,Yes,,   6,1,66,0,Yes,
2015/01/03 14:42:35,AMA,Current Accounts,Bird Refuge,,Create Demand Site,,,   5,1,67,1,,
2015/01/03 14:42:35,AMA,Current Accounts,Bird Refuge,,Change Active in Current Accounts?,Yes,,   6,1,67,0,Yes,
2015/01/03 14:51:49,AMA,Current Accounts,Withdrawal Node 1,,Create River Withdrawal,,,   5,1,68,10,,
2015/01/03 14:51:49,AMA,Current Accounts,Below Withdrawal Node 1,,Create River Reach,,,   5,1,69,16,,
2015/01/03 14:51:57,AMA,Current Accounts,Below Withdrawal Node 1,,Delete River Reach,0,0,   13,1,69,16,0,0
2015/01/03 14:51:57,AMA,Current Accounts,Supply and Resources\River\Bear River\Reaches\Below Withdrawal Node 1,,Delete Branch,,,   19,1,179,0,,
2015/01/03 14:51:57,AMA,Current Accounts,Withdrawal Node 1,,Delete River Withdrawal,0,0,   13,1,68,10,0,0
2015/01/03 14:51:57,AMA,Current Accounts,Supply and Resources\River\Bear River\Withdrawals\Withdrawal Node 1,,Delete Branch,,,   19,1,178,0,,
2015/01/03 14:52:01,AMA,Current Accounts,Withdrawal Node 1,,Create River Withdrawal,,,   5,1,68,10,,
2015/01/03 14:52:01,AMA,Current Accounts,Below Withdrawal Node 1,,Create River Reach,,,   5,1,69,16,,
2015/01/03 14:52:05,AMA,Current Accounts,Transmission Link from Withdrawal Node 1 to Bird Refuge,,Create Transmission Link,,,   5,1,70,7,,
2015/01/03 14:52:40,AMA,Current Accounts,Return Flow Node 1,,Create Return Flow Node,,,   5,1,71,17,,
2015/01/03 14:52:40,AMA,Current Accounts,Below Return Flow Node 1,,Create River Reach,,,   5,1,72,16,,
2015/01/03 14:52:40,AMA,Current Accounts,Return Flow from Bird Refuge to Bear River,,Create Return Flow,,,   5,1,73,8,,
2015/01/03 14:52:46,AMA,,,,Area saved,,,   4,0,0,0,,
