Name,Lat1,Lon1,Lat2,Lon2
"C97,WTP410",35.431957,-118.945931,35.37737614,-119.0015046
"C98,D855",35.047247,-118.877963,35.281071,-119.323833
"C98,D860",35.047247,-118.877963,35.090484,-119.332074
"C98,HAR21",35.047247,-118.877963,35.345914,-119.065284
"CVPM19AG,HGR19",35.36389024,-119.4031166,35.430922,-119.512365
"CVPM19AS,HSD408A",35.36389024,-119.3941334,35.352772,-119.294069
"CVPM19BG,HGR19",35.45817852,-119.4917586,35.430922,-119.512365
"CVPM19BS,HSD408B",35.45817852,-119.4827754,35.425541,-119.266075
"CVPM20G,HGR20",35.6749534,-119.3487276,35.771065,-119.292631
"CVPM21AG,HGR21",35.18051293,-118.8741936,35.238154,-119.030561
"CVPM21AS,HSD21",35.18051293,-118.8652104,35.364555,-119.187768
"CVPM21BG,HGR21",35.14611738,-119.0403856,35.238154,-119.030561
"CVPM21BS,HSD409B",35.14611738,-119.0314024,35.299149,-119.167285
"CVPM21CG,HGR21",35.13444085,-119.1331216,35.238154,-119.030561
"CVPM21CS,HSD409C",35.13444085,-119.1241384,35.289613,-119.189395
"D752,C74",35.29861,-119.345666,35.359626,-119.117233
"D752,D855",35.29861,-119.345666,35.281071,-119.323833
"D847,N11",35.718302,-120.005391,35.370507,-119.758709
"D850,D851",35.558967,-119.667792,35.466862,-119.637928
"D850,HAR19",35.558967,-119.667792,35.539585,-119.377529
"D850,N12",35.558967,-119.667792,35.572836,-119.490197
"D851,D853",35.466862,-119.637928,35.36269,-119.488731
"D853,C95",35.36269,-119.488731,35.325805,-119.408835
"D855,C98",35.281071,-119.323833,35.047247,-118.877963
"D855,D859",35.281071,-119.323833,35.261828,-119.307634
"D859,PMP_Buena",35.261828,-119.307634,35.158966,-119.344948
"D860,C98",35.090484,-119.332074,35.047247,-118.877963
"D860,D861",35.090484,-119.332074,35.072289,-119.150352
"D860,HSU409CD86",35.090484,-119.332074,35.137583,-119.188578
"D861,PMP_Wheelr",35.072289,-119.150352,35.033408,-119.008437
"D862A,D863",35.028653,-119.001879,35.024102,-118.986062
"D862B,HSU409BD86",34.964901,-118.911872,35.088059,-118.995605
"D862B,PMP_Edmons",34.964901,-118.911872,34.944971,-118.82593
"D863,PMPChris",35.024102,-118.986062,35.017257,-118.980479
"Ext_CVPM19,HGR19",35.39798378,-119.4795546,35.430922,-119.512365
"EXT_CVPM20,HGR20",35.7600863,-119.2488686,35.771065,-119.292631
"EXT_CVPM21,HGR21",35.22738405,-119.0923196,35.238154,-119.030561
"GW_19,HGP19",35.437278,-119.529869,35.491776,-119.528461
"GW_21,HGP21",35.262951,-119.088815,35.225973,-119.071181
"GW_KRN,HGPKRN",35.050838,-118.830299,35.029826,-118.837723
"HAR19,GW_19",35.539585,-119.377529,35.437278,-119.529869
"HAR21,GW_21",35.345914,-119.065284,35.262951,-119.088815
"HARKRN,GW_KRN",35.033277,-118.767607,35.050838,-118.830299
"HGP19,A408A",35.491776,-119.528461,35.367553,-119.398625
"HGP19,A408B",35.491776,-119.528461,35.461837,-119.487267
"HGP19,D851",35.491776,-119.528461,35.466862,-119.637928
"HGP19,R401",35.491776,-119.528461,35.507359,-119.457096
"HGP19,U408",35.491776,-119.528461,35.401645,-119.475063
"HGP20,A407",35.761971,-119.274639,35.68225043,-119.344236
"HGP20,U407",35.761971,-119.274639,35.763731,-119.244377
"HGP21,A409A",35.225973,-119.071181,35.184184,-118.869702
"HGP21,A409B",35.225973,-119.071181,35.14979,-119.035894
"HGP21,A409C",35.225973,-119.071181,35.138114,-119.12863
"HGP21,C98",35.225973,-119.071181,35.047247,-118.877963
"HGP21,U409",35.225973,-119.071181,35.231053,-119.087828
"HGP21,U410",35.225973,-119.071181,35.375545,-119.008242
"HGR19,GW_19",35.430922,-119.512365,35.437278,-119.529869
"HGR21,GW_21",35.238154,-119.030561,35.262951,-119.088815
"HSD21,C73",35.364555,-119.187768,35.325482,-119.21283
"HSD407,C73",35.68225043,-119.3352528,35.325482,-119.21283
"HSD408A,C73",35.352772,-119.294069,35.325482,-119.21283
"HSD408B,C73",35.425541,-119.266075,35.325482,-119.21283
"HSD408B,R401",35.425541,-119.266075,35.507359,-119.457096
"HSD409B,C73",35.299149,-119.167285,35.325482,-119.21283
"HSD409C,C73",35.289613,-119.189395,35.325482,-119.21283
"HSR401,R401",35.492691,-119.473314,35.507359,-119.457096
"HSU408AC74,A408A",35.406108,-119.196464,35.367553,-119.398625
"HSU408AN10,A408A",35.471629,-119.429693,35.367553,-119.398625
"HSU408AN11,A408A",35.527321,-119.593604,35.367553,-119.398625
"HSU408AN12,A408A",35.508649,-119.551324,35.367553,-119.398625
"HSU408BC65,A408B",35.445205,-119.176799,35.461837,-119.487267
"HSU408BN10,A408B",35.463503,-119.447133,35.461837,-119.487267
