Name,Type,Latitude,Longitude
HGRMWD,Junction,33.993281,-118.088307
HNP504,Junction,33.9124152847046,-118.271096576421
HP504,Junction,33.9180063823168,-118.262113423579
HXCMWD,Junction,33.9180063823168,-118.271096576421
HXI504,Junction,33.9180063823168,-118.271096576421
Ind_CMWD,Urban Demand,33.9161427238725,-118.266605
IRes_CMWD,Urban Demand,33.9161427238725,-118.257621847159
U504,Junction,33.91987,-118.266605
WTP504,Water Treatment,33.921733576921,-118.259867635369
WWP504,Water Treatment,33.9124152847046,-118.266605
A511,Junction,32.8874888297074,-116.862086
AGG_SD,Agricultural Demand,32.8799450097516,-116.866577576421
AGS_SD,Agricultural Demand,32.8799450097516,-116.857594423579
HSU511N8,Junction,32.8780589544276,-116.853102847159
HU511,Junction,32.883717,-116.862086
C153,Junction,33.58196,-117.080452
C154,Junction,33.582058,-117.080484
C156,Junction,33.465816,-117.125257
ERes_SDWD,Urban Demand,32.871316,-117.002086
GW_EW,Groundwater Storage,33.651403,-117.667286
GW_SD,Groundwater Storage,32.791114,-117.034194
HGPEW,Junction,33.604571,-117.617697
HGPSD,Junction,32.7567700000001,-117.045917
HGRSD,Junction,32.81858,-117.02593
N5,Junction,33.683559,-117.074249
N6,Junction,33.684288,-117.070979
N8,Junction,33.034396,-117.034424
PMP_Wads,Pump Plant,33.682148,-117.070134
PWP_Wads,Power Plant,33.6805359999999,-117.069446
SR_DMV,Surface Storage,33.684002,-117.063611
SR_SKN,Surface Storage,33.583383,-117.071451
HNP509,Junction,33.5226543614432,-117.701517576421
HP509,Junction,33.5282709011569,-117.692534423579
HXEWMWD,Junction,33.5282709011569,-117.701517576421
HXI509,Junction,33.5282709011569,-117.701517576421
Ind_EMWD,Urban Demand,33.5263987617824,-117.697026
IRes_EMWD,Urban Demand,33.5263987617824,-117.688042847159
U509,Junction,33.530143,-117.697026
WTP509,Water Treatment,33.5320150583104,-117.690288635369
WWP509,Water Treatment,33.5226543614432,-117.697026
HNP511,Junction,32.8725085471095,-117.175111576421
HP511,Junction,32.8781669469738,-117.166128423579
HXI511,Junction,32.8781669469738,-117.175111576421
HXSD,Junction,32.8781669469738,-117.175111576421
Ind_SDMWD,Urban Demand,32.8762808538158,-117.17062
IRes_SDWD,Urban Demand,32.8762808538158,-117.161636847159
U511,Junction,32.8800529999999,-117.17062
WTP511,Water Treatment,32.8819390128932,-117.163882635369
WWP511,Water Treatment,32.8725085471095,-117.17062
A509,Junction,33.7123133311338,-117.2104
AGG_EW,Agricultural Demand,33.7048405063114,-117.214891576421
HSU509C154,Junction,33.7029721985118,-117.201416847159
HU509,Junction,33.708577,-117.2104
C129,Junction,34.148808,-117.277837
C131,Junction,34.007252,-117.312498
C138,Junction,33.71505,-117.046669
D876,Junction,34.150573,-117.388555
D881,Junction,33.844212,-117.280958
ERES_EWMWD,Urban Demand,33.704972,-117.825602
GW_SBV,Groundwater Storage,34.08128,-117.460982
HGPSBV,Junction,34.082154,-117.408926
HGREW,Junction,33.704165,-117.712708
HGRSBV,Junction,34.079899,-117.5223
N1,Junction,34.032364,-117.209001
N2,Junction,33.980078,-117.144574
N3,Junction,33.835837,-117.182219
N4,Junction,33.771835,-116.964058
PWP_Devils,Power Plant,34.205618,-117.334446
SR_MHW,Surface Storage,33.84895,-117.454613
SR_PRR,Surface Storage,33.858018,-117.183869
ERes_SBV,Urban Demand,34.140023618102,-117.463720152841
HARSBV,Junction,34.136306,-117.463720152841
HNP506,Junction,34.1288702731662,-117.459228576421
HP506,Junction,34.1344471296187,-117.450245423579
HXI506,Junction,34.1344471296187,-117.459228576421
Ind_SBV,Urban Demand,34.1325882183519,-117.454737
IRes_SBV,Urban Demand,34.1325882183519,-117.445753847159
U506,Junction,34.1363059999999,-117.454737
WTP506,Water Treatment,34.1381648294948,-117.447999635369
WWP506,Water Treatment,34.1288702731662,-117.454737
A501,Junction,34.3380448841166,-119.111544
AGG_VENT,Agricultural Demand,34.3306269518908,-119.116035576421
AGS_VENT,Agricultural Demand,34.3306269518908,-119.107052423579
HSU501C106,Junction,34.3287723663415,-119.102560847159
HU501,Junction,34.334336,-119.111544
C106,Junction,34.400984,-118.785093
D885,Junction,34.739898,-118.798985
D886,Junction,34.621936,-118.720088
D887,Junction,34.563534,-118.632063
D888,Junction,34.515843,-118.610133
D889,Junction,34.392866,-118.531956
GW_VC,Groundwater Storage,34.247991,-119.131199
HGPVC,Junction,34.221579,-119.068722
HGRVC,Junction,34.281464,-119.196961
PWP_Castai,Power Plant,34.587048,-118.65629
PWP_Warne,Power Plant,34.686966,-118.789214
SR_CAS,Surface Storage,34.516992,-118.60092
SR_PYM,Surface Storage,34.632987,-118.750925
EXT_CLWA,Urban Demand,34.4329424813875,-118.552719576421
HNP503,Junction,34.4292377985629,-118.552719576421
HP503,Junction,34.4347947612208,-118.543736423579
HXI503,Junction,34.4347947612208,-118.552719576421
